"","gl_rgn_name","gl_rgn_id","gl_cntry_key","gl_cntry_count","sc_rgn_id","sc_rgn_name","sc_rgn_inland_shp"
"52","Chile",224,"CHL",2,5,"Bío-Bío","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"53","Chile",224,"CHL",2,8,"Coquimbo","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"54","Chile",224,"CHL",2,7,"Libertador General Bernardo O'Higgins","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"55","Chile",224,"CHL",2,3,"Los Lagos","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"56","Chile",224,"CHL",2,1,"Magallanes y Antártica Chilena","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"57","Chile",224,"CHL",2,6,"Maule","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"58","Chile",224,"CHL",2,12,"Tarapacá","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"59","Chile",224,"CHL",2,10,"Valparaíso","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"60","Chile",224,"CHL",2,13,"Easter Island","/Volumes/data_edit/git-annex/clip-n-ship/Chile/spatial/rgn_inland_gcs.shp"
"72","Puerto Rico and Virgin Islands of the United States",116,"PRI",2,1,"Puerto Rico",NA
"73","Puerto Rico and Virgin Islands of the United States",116,"PRI",2,2,"Virgin Islands of the United States",NA
"74","Guadeloupe and Martinique",140,"GLP",2,1,"Guadeloupe",NA
"75","Guadeloupe and Martinique",140,"GLP",2,2,"Martinique",NA
"76","Northern Mariana Islands and Guam",13,"MNP",2,1,"Northern Mariana Islands",NA
"77","Northern Mariana Islands and Guam",13,"MNP",2,2,"Guam",NA
